ORIGEM,MARCA,MODELO,SERVICO_COMPLETO,PRECO,TIPO_SERVICO,QUALIDADE
PROMO,PROMO,SE 3 2022/2023,IPHONE - COR,PRETO,IPHONE,COR
PROMO,PROMO,SE 3 2022/2023,IPHONE - QUANTIDADE,1,IPHONE,QUANTIDADE
PROMO,PROMO,EDGE 30 COM ARO,MOTOROLA - COR,PRATA,MOTOROLA,COR
PROMO,PROMO,EDGE 30 COM ARO,MOTOROLA - QUANTIDADE,1,MOTOROLA,QUANTIDADE
PROMO,PROMO,M51 C ARO,SAMSUNG - QUANTIDADE,1,SAMSUNG,QUANTIDADE
PROMO,PROMO,12C S ARO,XIAOMI - QUANTIDADE,1,XIAOMI,QUANTIDADE
PROMO,PROMO,14 PRO,IPHONE - QUANTIDADE,2,IPHONE,QUANTIDADE
PROMO,PROMO,G 5G PLUS S/ ARO,MOTOROLA - QUANTIDADE,1,MOTOROLA,QUANTIDADE
PROMO,PROMO,A03 CORE S ARO,SAMSUNG - QUANTIDADE,1,SAMSUNG,QUANTIDADE
PROMO,PROMO,10C C ARO,XIAOMI - COR,PRETO,XIAOMI,COR
PROMO,PROMO,10C C ARO,XIAOMI - QUANTIDADE,1,XIAOMI,QUANTIDADE
PROMO,PROMO,14 PRO MAX,IPHONE - QUANTIDADE,1,IPHONE,QUANTIDADE
PROMO,PROMO,G8 POWER C ARO,MOTOROLA - COR,PRETO,MOTOROLA,COR
PROMO,PROMO,G8 POWER C ARO,MOTOROLA - QUANTIDADE,1,MOTOROLA,QUANTIDADE
PROMO,PROMO,A05 S ARO,SAMSUNG - QUANTIDADE,1,SAMSUNG,QUANTIDADE
PROMO,PROMO,REDMI 8/8A S ARO,XIAOMI - QUANTIDADE,1,XIAOMI,QUANTIDADE
PROMO,PROMO,G34/G53 S ARO,MOTOROLA - QUANTIDADE,1,MOTOROLA,QUANTIDADE
PROMO,PROMO,A14 4G S ARO,SAMSUNG - QUANTIDADE,1,SAMSUNG,QUANTIDADE
PROMO,PROMO,POCO M3/NOTE 9 4G,XIAOMI - QUANTIDADE,1,XIAOMI,QUANTIDADE
PROMO,PROMO,G9 PLAY/E7 PLUS S ARO,MOTOROLA - QUANTIDADE,1,MOTOROLA,QUANTIDADE
PROMO,PROMO,A14 4G S ARO ORG,SAMSUNG - QUANTIDADE,1,SAMSUNG,QUANTIDADE
PROMO,PROMO,G71 C ARO,MOTOROLA - QUANTIDADE,1,MOTOROLA,QUANTIDADE
PROMO,PROMO,M51 C ARO BORDA GROSSA,SAMSUNG - QUANTIDADE,1,SAMSUNG,QUANTIDADE
PROMO,PROMO,G100 IMP S ARO,MOTOROLA - QUANTIDADE,1,MOTOROLA,QUANTIDADE
PROMO,PROMO,M23 5G S ARO,SAMSUNG - QUANTIDADE,1,SAMSUNG,QUANTIDADE
PROMO,PROMO,G7/G7 PLUS S ARO,MOTOROLA - QUANTIDADE,1,MOTOROLA,QUANTIDADE
PROMO,PROMO,A51 C ARO,SAMSUNG - QUANTIDADE,1,SAMSUNG,QUANTIDADE
PROMO,PROMO,S23 ORG,SAMSUNG - QUANTIDADE,1,SAMSUNG,QUANTIDADE
PROMO,PROMO,K71 S ARO,XIAOMI - QUANTIDADE,1,XIAOMI,QUANTIDADE
PROMO,PROMO,S10 ORG,SAMSUNG - QUANTIDADE,1,SAMSUNG,QUANTIDADE
PROMO,PROMO,K61 S ARO,XIAOMI - QUANTIDADE,1,XIAOMI,QUANTIDADE
PROMO,PROMO,A52 4G C ARO,SAMSUNG - COR,PRETO,SAMSUNG,COR
PROMO,PROMO,A52 4G C ARO,SAMSUNG - QUANTIDADE,1,SAMSUNG,QUANTIDADE
PROMO,PROMO,A34 PRIME,SAMSUNG - QUANTIDADE,1,SAMSUNG,QUANTIDADE
PROMO,PROMO,A53 C ARO,SAMSUNG - COR,PRETO,SAMSUNG,COR
PROMO,PROMO,A53 C ARO,SAMSUNG - QUANTIDADE,1,SAMSUNG,QUANTIDADE
PROMO,PROMO,A72 C ARO BORDA GROSSA,SAMSUNG - QUANTIDADE,1,SAMSUNG,QUANTIDADE
